IC50_nM,MDEC-23,minsssN,LipoaffinityIndex,C1SP2,minHsOH,maxHsOH,MLFER_A,maxssO,minsOH,minHBint5,nHBAcc,nC,SsOH,VC-5,ATSc3,SHsOH,MLogP,MDEO-12,ndssC,TopoPSA
2.5,0.523470064,0.920055295,0.59508173,0,0.668696822,0.550118307,0.162833914,0.980061663,0.849698449,0.33646114,0.015151515,0.215909091,0.151907026,0.155504159,0.270645978,0.17092296,0.538461538,0.076338912,0,0.04581085
7.5,0.575280658,0.921920913,0.642885364,0,0.646120129,0.526665383,0.162833914,0.992196491,0.857369555,0.328996707,0.015151515,0.238636364,0.153278448,0.155504159,0.270645894,0.163636085,0.58974359,0.076338912,0,0.04581085
3.1,0.572028456,0.908466204,0.549642965,0,0.681777058,0.605711394,0.225900116,0.966644568,0.831282516,0.339049251,0.015151515,0.227272727,0.300652133,0.117520785,0.252337793,0.363340603,0.538461538,0.140360192,0,0.062734764
3.9,0.565899957,0.92138339,0.645161085,0,0.654428958,0.535296689,0.162833914,0.98439228,0.854478433,0.330969784,0.015151515,0.238636364,0.15276158,0.083232823,0.270590217,0.166317851,0.58974359,0.076338912,0,0.04581085
7.4,0.565899957,0.915695078,0.61895561,0,0.67378306,0.555401948,0.162833914,0.974085998,0.851777672,0.337297532,0.015151515,0.238636364,0.152278745,0.083232823,0.268189794,0.172564599,0.58974359,0.076338912,0,0.04581085
490,0.523470064,0.912479356,0.561078818,0.1,0.687421231,0.569569435,0.162833914,0.96840633,0.84929159,0.342050038,0.03030303,0.215909091,0.151834289,0.117520785,0.268669368,0.176966468,0.512820513,0.076338912,0,0.056594303
1,0.699807733,0.9161345,0.62345405,0,0.641873389,0.586737882,0.225900116,0.918343338,0.837294135,0.093941509,0.015151515,0.261363636,0.303975893,0.178257657,0.304727629,0.344566146,0.666666667,0.053979762,0.035714286,0.033847827
35,0.48320977,0.910536003,0.529591748,0.05,0.703471849,0.586242998,0.162833914,0.957970378,0.844736871,0.34656117,0.015151515,0.204545455,0.151020008,0.104064965,0.224051852,0.18214698,0.487179487,0.116734258,0,0.056803447
4.3,0.616589126,0,0.501297569,0,0.682030802,0.62316116,0.225900116,0,0.823003109,0.093941509,0,0.181818182,0.298479933,0.178257657,0.380553441,0.368844182,0.538461538,0,0.035714286,0.023415736
91,0.631463843,0,0.387386057,0,0.702368544,0.639561015,0.225900116,0,0.820454624,0.093941509,0.03030303,0.181818182,0.297444472,0.191220225,0.330897581,0.380503882,0.487179487,0,0.107142857,0.051976409
172,0.72652551,0.873575132,0.498682631,0,0.66221113,0.603137736,0.225900116,0.891593908,0.834745649,0.093941509,0.045454545,0.261363636,0.302940433,0.191220225,0.267658426,0.356225845,0.615384615,0.149392509,0.107142857,0.0624085
35,0.614539958,0,0.498952191,0,0.673218981,0.563969796,0.225900116,0,0.846623804,0.093941509,0,0.181818182,0.303311664,0.178257657,0.379976455,0.347609184,0.538461538,0,0.035714286,0.023415736
11,0.344670285,0.915604138,0.588664484,0,0.678931241,0.560749937,0.162833914,0.967292075,0.844368272,0.337927147,0.015151515,0.204545455,0.15095411,0.485049142,0.270704646,0.174226231,0.512820513,0.076338912,0,0.04581085
2.6,0.5493671,0.920988104,0.618983547,0,0.657408475,0.538391845,0.162833914,0.986129077,0.853534002,0.332760928,0.015151515,0.227272727,0.152592737,0.155504159,0.270645896,0.167279523,0.564102564,0.076338912,0,0.04581085
542,0.517375409,0.912181298,0.559434823,0.1,0.688745173,0.570944761,0.162833914,0.967310825,0.849091657,0.342367791,0.03030303,0.215909091,0.151798546,0.117520785,0.278409575,0.177393785,0.512820513,0.076338912,0,0.056594303
3,0.420189375,0.916541515,0.585579334,0,0.686334863,0.568440903,0.162833914,0.963482876,0.842585171,0.340299538,0.015151515,0.204545455,0.150635332,0.083232823,0.270590231,0.176615831,0.512820513,0.076338912,0,0.04581085
2.7,0.592303118,0.910523342,0.57356668,0,0.67378306,0.620612499,0.225900116,0.970272212,0.823463013,0.336344733,0.015151515,0.238636364,0.299537442,0.083232823,0.2558908,0.365390259,0.564102564,0.132830812,0,0.062734764
7,0.379630116,0.915352305,0.56224484,0,0.696569282,0.579072533,0.162833914,0.957598749,0.838896158,0.343374523,0.015151515,0.193181818,0.149975819,0.235076382,0.270651033,0.179919101,0.487179487,0.076338912,0,0.04581085
366,0.625690788,0,0.38605089,0,0.693556722,0.585096872,0.225900116,0,0.843380398,0.093941509,0.03030303,0.181818182,0.302151968,0.191220225,0.330987387,0.360737641,0.487179487,0,0.107142857,0.051976409
8.8,0.48320977,0.91777775,0.540785114,0.05,0.683220764,0.565205942,0.162833914,0.974927676,0.848534937,0.341807258,0.015151515,0.204545455,0.151699016,0.169035413,0.253575224,0.175610721,0.487179487,0.076338912,0,0.06943573
3,0.543757432,0.920570809,0.620802095,0,0.66375817,0.54498798,0.162833914,0.979746916,0.851308555,0.334122276,0.015151515,0.227272727,0.152194877,0.083232823,0.270590217,0.169328956,0.564102564,0.076338912,0,0.04581085
1.8,0.623581015,0.893845375,0.522823169,0,0.67626767,0.618801515,0.225900116,0.882116677,0.827706335,0.093941509,0.03030303,0.238636364,0.300305956,0.127034571,0.303487933,0.365629517,0.564102564,0.091786084,0.035714286,0.071753043
2.3,0.579140461,0.914161582,0.570257586,0,0.678112144,0.60190424,0.225900116,0.969014606,0.832228603,0.337990745,0.03030303,0.238636364,0.300990411,0.117520785,0.276590341,0.360974821,0.564102564,0.134384653,0,0.062734764
1.4,0.653719758,0,0.48966333,0,0.685243812,0.609312697,0.263182346,0.967815032,0.829317867,0.340913836,0.015151515,0.204545455,0.299949663,0.140491307,0.32344295,0.365578469,0.512820513,0.095695891,0.035714286,0.062366671
1,0.580992796,0.86529787,0.530651661,0,0.68112421,0.605033209,0.225900116,0.970551185,0.830893937,0.339743757,0.03030303,0.204545455,0.300513195,0.142683732,0.259147363,0.362919176,0.487179487,0.095695891,0,0.057723679
0.7,0.43391412,0.948758663,0.494883148,0,0.692577989,0.616931523,0.225900116,0.956532089,0.822370463,0.341312714,0.015151515,0.170454545,0.297465583,0.113860186,0.326996392,0.37031284,0.435897436,0.095695891,0,0.055013176
1.4,0.602211525,0.954173851,0.603598037,0,0.673937929,0.597568018,0.225900116,0.972711982,0.832466329,0.337024653,0.015151515,0.238636364,0.301075412,0.117520785,0.327707486,0.358280273,0.58974359,0.095695891,0,0.055013176
3.6,0.591915693,0.876724782,0.554046515,0,0.676107167,0.599821448,0.225900116,0.973524218,0.832598628,0.338214431,0.03030303,0.215909091,0.301122716,0.142683732,0.29177766,0.359680565,0.512820513,0.095695891,0,0.057723679
1.7,0.653719758,0,0.516298975,0,0.681614156,0.60554217,0.263182346,0.969987609,0.829767342,0.339823095,0.015151515,0.204545455,0.300110375,0.150006009,0.327154651,0.363235446,0.512820513,0.095695891,0,0.062366671
1,0.587796278,0.901317569,0.552882096,0,0.677218208,0.600975609,0.225900116,0.972713902,0.832240128,0.338516107,0.03030303,0.215909091,0.300994532,0.142683732,0.249783693,0.360397766,0.512820513,0.095695891,0,0.057723679
4.4,0.580992796,0.882577434,0.492533659,0,0.685533721,0.609613858,0.2271777,0.967965138,0.829372738,0.341083268,0.03030303,0.193181818,0.299969282,0.142683732,0.246776301,0.365765611,0.461538462,0.095695891,0,0.065077174
155,0.597162518,0.932358373,0.554267776,0,0.679698324,0.603551981,0.225900116,0.970591888,0.830728733,0.339107376,0.015151515,0.215909091,0.300454125,0.117520785,0.338493551,0.361998735,0.538461538,0.095695891,0,0.055013176
3.6,0.591915693,0.894004346,0.515418864,0,0.680516678,0.604402097,0.245180023,0.97093817,0.831077428,0.33956613,0.03030303,0.204545455,0.300578803,0.142683732,0.282503907,0.362527,0.487179487,0.095695891,0,0.065077174
1.3,0.429064818,0,0.442755379,0,0.429300734,0.586053488,0.2029036,0,0.824830311,0.093941509,0.015151515,0.125,0.305517316,0.349936049,0.382025565,0.275743353,0.41025641,0,0,0.023415736
32,0.58296479,0.693478044,0.67562472,0.05,0.172743166,0.452755669,0.242973287,0,0.87022273,0.117778264,0.060606061,0.306818182,0.499318291,0.467778533,0.415942058,0.203759999,0.717948718,0,0.035714286,0.078495838
39,0.592745426,0,0.580894276,0.05,0.929355499,0.820893484,0.168060395,0,0.750300841,0.093941509,0.03030303,0.204545455,0.134136963,0.062945877,0.420522133,0.255053399,0.58974359,0,0.107142857,0.020772159
397,0.597082804,0,0.472014652,0,0.223604664,0.489740355,0.242973287,0,0.862084299,0.153288149,0.03030303,0.193181818,0.494960468,0.436960343,0.346694808,0.24315855,0.487179487,0,0,0.061504999
