pIC50,MDEC-23,LipoaffinityIndex,C1SP2,maxHsOH,minsssN,maxssO,minHsOH,minsOH,nHBAcc,MLFER_A,nC,SHsOH,ATSc3,VC-5,minHBint5,MLogP,TopoPSA,MDEO-12,minssO,SHBint10
8.367,33.30823771,9.243204002,0,0.531414483,0,0,0.480937736,9.655749374,0,1.089,23,1.012352219,-0.026364058,0.264010045,0,3.77,40.46,0,0,9.921872531
7.041,34.1117722,6.100093619,0,0.545399823,0,0,0.498954318,9.625849682,2,1.089,23,1.04435414,-0.071584012,0.283208368,0,3.55,74.6,0,0,10.1990673
6.764,39.24701782,9.171051169,0,0.514339065,2.389028913,5.997874712,0.463380097,9.793516802,3,1.089,30,0.977719161,-0.129173826,0.283208368,0,4.1,87.07,0.527753967,5.997874712,12.50557923
7.456,33.19754135,9.178489017,0,0.480937736,0,0,0.473131614,9.932875304,0,1.089,23,0.95406935,-0.0268895,0.264010045,0,3.77,40.46,0,0,0
7.959,18.61914087,11.65388095,0,0.47819193,2.503968667,6.507106677,0.47819193,9.906412644,1,0.546,25,0.47819193,-0.126399734,0.71838623,3.111645899,3.66,67.23,0.269679945,6.017663024,0
8.523,22.69869352,11.56875377,0,0.484750572,2.506532181,6.481481677,0.484750572,9.885492702,1,0.546,25,0.484750572,-0.126503928,0.123272692,3.141901948,3.66,67.23,0.269679945,6.014950189,0
8.155,20.50767624,10.92489531,0,0.49381693,2.503279962,6.441898344,0.49381693,9.842211964,1,0.546,24,0.49381693,-0.126448558,0.34816191,3.181118461,3.55,67.23,0.269679945,5.997842422,0
6.437,33.7999109,6.063252948,0,0.498954318,0,0,0.491148195,9.894822583,2,1.089,23,0.990102513,-0.071502229,0.283208368,0,3.55,74.6,0,0,0
8.745,33.68594064,9.837150447,0,0.527696699,2.444463409,5.934120077,0.475832354,9.710929194,2,1.089,28,1.003529053,-0.096545075,0.18814565,0,3.88,98.24,0.324249659,5.934120077,9.896024666
8.886,23.17814628,7.62787505,0,0.499770093,0,0,0.257051918,9.677186713,1,0.891,18,0.756822011,-0.025023443,0.518275814,0,3.22,40.46,0,0,7.671398008
7.495,31.49184604,14.05333659,1,0.386097425,1.89650442,0,0.029775435,10.20974585,4,1.236,34,0.55925211,0.005863189,0.692807444,0.303999622,4.54,106.3,0,0,5.673015064
7.481,31.49184604,13.60760468,1,0.40304187,1.891116688,0,0.152387541,10.16863474,4,1.076,34,0.555429411,-0.004207551,0.6630157,5.590736122,4.54,103.14,0,0,5.934407906
6.959,21.69941623,11.20706613,0,0.567718036,2.125854825,0,0.567718036,9.479514966,7,0.751,25,0.567718036,0.475850512,0.053983456,0,3.22,89.44,0,0,0
6.62,21.69941623,11.25696834,0,0.571529764,2.043702714,0,0.571529764,9.462879164,7,0.751,25,0.571529764,0.46841307,0.053983456,0,3.22,89.44,0,0,0
7.097,21.69941623,10.23667886,0,0.569134167,2.273198543,0,0.569134167,9.465234188,6,0.751,24,0.569134167,0.391819389,0.02236068,0,3.11,111.5,0,0,0
5.642,25.0503605,8.406389632,0,0,0,6.445173611,0,0,3,0.359,21,0,0.00840044,0.244448235,2.188156435,3,73.01,0.503952631,5.596005069,0
6.301,29.44780595,13.44686235,0,0,2.123016168,5.8709882,0,0,1,0.003,26,0,-0.051799041,0.093226536,0,4.1,12.47,0,5.8709882,0
8.155,27.88277453,10.29976287,0,0.541775442,0,0,0.541775442,9.605788939,0,0.546,22,0.541775442,-0.009509625,0.093226536,0,3.77,20.23,0,0,0
9.481,21.16900602,7.330747563,0,0.57050442,0,0,0.57050442,9.410679688,0,1.089,18,1.141008839,-0.020853473,0.090175565,0,3.22,40.46,0,0,0
4.699,18.99214698,-1.645484546,0,0.551802555,0,5.525886952,0.405090076,9.32461242,7,1.517,21,2.744660938,-0.243518742,0.205565541,2.464375503,2.67,173.98,3.53266686,5.276898379,21.67215665
5.886,18.35537094,2.93341334,1,0.623108389,0,5.28742654,0.550232663,9.249948343,1,1.417,15,1.792118021,-0.006882117,0.082414233,0,2.56,86.99,0.869441744,5.28742654,0
5.201,19.28856206,3.861341681,1,0.623108389,0,5.366593207,0.618776969,9.245833117,1,1.292,15,1.241885359,-0.026312887,0.070529389,0,2.67,66.76,0.6223699,5.366593207,0
5.569,14.63077315,2.237497303,0,0.586808469,0,0,0.508155116,9.457360481,2,0.796,15,1.630773022,0.03158244,0.123337554,6.289360591,2.56,94.83,0,0,0
5.959,18.33439801,2.669409595,0,0.599154148,0,0,0.599154148,9.380842992,2,1.089,14,1.198308296,7.42E-05,0.100592232,7.292949121,2.56,74.6,0,0,0
7.301,23.69131944,8.562812714,1,0.501404875,2.53758031,0,0.501404875,9.79550628,1,0.546,19,0.501404875,-0.029732423,0.151548941,0,3.22,51.71,0,0,0
7.275,27.16148554,11.42469749,0,0.475899096,2.591256614,0,0.475899096,9.865237383,1,0.546,22,0.475899096,-0.021661219,0.123076897,0,3.66,23.47,0,0,0
8.174,27.16148554,10.73368212,0,0.493044302,2.492441421,0,0.493044302,9.83355114,1,0.546,22,0.493044302,-0.030430325,0.123076897,0,3.66,23.47,0,0,0
7.697,28.39410049,9.511050826,0,0.541880163,2.411339758,0,0.483402584,9.590048734,1,1.089,22,1.025282746,-0.012399298,0.097504164,1.165647869,3.55,43.7,0,0,10.00364816
7.526,26.79061535,10.69705359,0,0.478538559,2.606515495,0,0.478538559,9.854156995,1,0.546,21,0.478538559,-0.021079843,0.149586409,0,3.55,23.47,0,0,0
6.783,21.93033619,8.540813454,1,0.536936469,0.884212018,0,0.536936469,9.632976595,2,0.546,17,0.536936469,-0.194929923,0.135188358,0,2.56,40.54,0,0,0
6.911,22.09455654,7.497547895,1,0.584614507,0.735413832,0,0.546740009,9.387231114,2,1.089,17,1.131354516,-0.205956281,0.139887457,0.402080165,2.56,60.77,0,0,33.19428604
7.271,21.93033619,7.391779996,1,0.585390645,0.783493953,0,0.545583546,9.397432996,2,1.089,17,1.130974191,-0.201861899,0.135188358,0,2.56,60.77,0,0,10.74226307
6.629,20.16244096,8.474654032,1,0.545583546,0.855867347,0,0.545583546,9.588856607,2,0.546,17,0.545583546,-0.192339888,0.135188358,0,2.67,40.54,0,0,0
7.532,33.41842504,12.51466797,0,0.446880412,1.749780745,5.992597406,0.446880412,10.0733535,4,0.546,30,0.446880412,0.033539106,0.220586125,0,3.99,78.46,0.348119163,5.992597406,2.6779744
7.513,26.79061535,10.12080375,0,0.50012594,2.453089569,0,0.50012594,9.814383594,1,0.546,21,0.50012594,-0.014083656,0.127421969,0,3.55,23.47,0,0,0
6.415,17.17995505,6.671211328,2,0.546862481,0.940358088,0,0.546862481,9.569979293,2,0.546,15,0.546862481,-0.205358896,0.15931533,0,2.34,68.78,0,0,0
7.37,18.71441723,9.075535391,0,0.513229917,2.490126606,0,0.513229917,9.682420883,1,0.546,18,0.513229917,-0.021072142,0.186854209,0,3.22,23.47,0,0,0
7.354,25.07195175,9.467139992,0,0.492550749,1.769958608,5.928362285,0.492550749,9.876572803,4,0.546,24,0.492550749,0.204073713,0.112207454,0,3.44,62.24,0.668740305,5.30568588,2.920019282
4.481,16.07806156,3.053459589,0,0.62430418,0,5.469093207,0.564538218,9.248566541,1,1.632,14,1.809461771,-0.159270361,0.053962227,0,2.45,82.28,0.6223699,5.469093207,0
5.066,14.16384478,5.413430174,0,0.59305418,0,5.944093207,0.579803047,9.374553355,1,1.089,16,1.172857227,-0.13221758,0.135393661,0,2.78,62.05,0.377964473,5.944093207,0
7.77,31.31111941,12.29480204,0,0.517473928,2.104580391,5.853660377,0.517473928,9.743624367,1,0.546,26,0.517473928,-0.061258906,0.093226536,0,3.99,32.7,0.1,5.853660377,3.029116631
6.745,17.27513324,5.58882344,0,0.535939133,0,6.045689012,0.520939983,9.729363719,1,0.979,17,1.056879116,-0.144229885,0.158793998,0,2.78,62.05,0.377964473,6.045689012,0
5.553,15.13070482,3.602160537,0,0.60867918,0,5.67742654,0.544130055,9.314467901,1,1.632,15,1.753020445,-0.165396009,0.075478802,0,2.56,82.28,0.6223699,5.67742654,0
5.921,17.63626174,4.053322168,0,0.596333501,0,5.826732096,0.528505055,9.371663117,1,1.632,16,1.709424766,-0.164154869,0.067760388,0,2.67,82.28,0.6223699,5.826732096,0
5.222,13.19675036,4.26257543,0,0.57115597,0,5.923883456,0.510804653,9.580607106,1,1.522,16,1.609621285,-0.191772163,0.220981565,0,2.56,82.28,0.6223699,5.923883456,0
7.252,26.52501226,15.07847465,0,0.440683348,2.487681323,6.133168911,0.440683348,10.10690905,2,0.546,30,0.440683348,-0.090140357,0.336701323,0,4.32,35.94,0.1,6.133168911,2.702785407
5.222,21.23332492,4.521648966,0,0.58458621,0,5.950482096,0.556526403,9.516338125,1,1.089,16,1.141112612,-0.127719967,0.081945098,0,2.78,62.05,0.377964473,5.950482096,0
6.678,23.17814628,7.133438798,0,0.504336209,0,0,0.504336209,9.665588917,1,0.546,18,0.504336209,-0.039348325,0.470352477,0,3.22,37.3,0,0,6.184146994
4.796,16.54222364,4.05488293,0,0.62430418,0,5.548259873,0.620619373,9.244451314,1,1.089,14,1.244923553,-0.122391487,0.041566829,0,2.56,62.05,0.377964473,5.548259873,0
6.495,14.60192101,5.102485596,0,0.551564133,0,5.896383456,0.533285662,9.656659638,1,0.979,16,1.084849795,-0.145471951,0.166512412,0,2.67,62.05,0.377964473,5.896383456,0
6.545,28.69839127,10.31303287,0,0.504258171,2.339899849,0,0.504258171,9.801188002,1,0.546,21,0.504258171,-0.025152267,0.127421969,0,3.44,23.47,0,0,6.74501139
5.564,16.02196384,3.264355335,1,0.605116331,0,5.586896259,0.522454885,9.501030005,1,0.671,16,1.127571216,0.095167927,0.101853548,0,2.56,89.13,1.775292324,5.044005793,3.05221028
5.81,16.66764888,1.607785003,0,0.600450444,0,5.562174036,0.555633897,9.535692266,2,1.333,16,1.731172328,-0.14490454,0.108654088,3.022710478,2.45,123.92,1.77797777,5.562174036,0
5.435,15.76449752,2.843025077,0,0.587510629,0,5.806435185,0.529913732,9.537021999,1,0.671,15,1.117424362,-0.045669587,0.171889009,-0.859744323,2.56,95,0.75,5.806435185,0
7.721,33.56340605,9.446908469,0,0.515789483,0,0,0.453159958,9.725052095,0,1.089,24,0.968949441,-0.029111042,0.313227327,0,3.88,40.46,0,0,9.594060665
5.902,18.27673077,2.967133423,0,0.625875932,0,5.528562925,0.569612859,9.244255151,1,1.417,15,1.800939235,-0.021197983,0.065242068,0,2.56,86.99,0.903602004,5.528562925,22.83082575
7.237,31.35574949,10.36952666,0,0.483305149,0,0,0.483305149,9.891209464,0,0.546,23,0.483305149,-0.0182855,0.264010045,0,3.88,20.23,0,0,0
7.62,31.39803344,10.39398998,0,0.480937736,0,0,0.480937736,9.928760078,0,0.546,23,0.480937736,-0.016816379,0.264010045,0,3.88,20.23,0,0,0
7.553,16.02196384,2.214234745,1,0.613256567,0,5.445229592,0.550232663,9.45259107,1,1.214,15,1.775550005,0.098795786,0.101853548,0,2.45,100.13,1.717891669,5.445229592,11.58972868
5.9,13.8747532,2.044110844,0,0.594987481,0,5.6530607,0.548889498,9.550044118,1,1.333,15,1.697113114,-0.155688929,0.151786453,3.090144025,2.34,100.13,1.77797777,5.6530607,0
5.53,15.71470594,2.230905385,0,0.605450444,0,5.572083333,0.561806737,9.49657704,1,1.214,15,1.762345167,-0.136561152,0.096201651,3.056551511,2.45,100.13,1.77797777,5.572083333,0
6.26,16.31880052,6.648870445,0,0.568915541,0,0,0.428015637,9.363409706,1,0.891,16,0.996931178,-0.01481063,0.087396232,0,3,40.46,0,0,9.480351361
7.509,33.30719273,9.123439472,0,0.473131614,0,0,0.447530707,9.972051419,0,1.089,23,0.92066232,-0.025664936,0.264010045,0,3.77,40.46,0,0,0
7.167,15.85658141,2.252603001,0,0.612060776,0,5.586433296,0.561806737,9.45259107,1,1.214,15,1.779317956,-0.147638437,0.096201651,3.043598744,2.45,100.13,1.787073532,5.586433296,11.5350792
9.066,41.9203154,10.42677699,1,0.517310801,1.891222668,0,0.463840721,9.767892355,4,1.089,32,0.981151522,-0.01782626,0.263449739,0,4.21,109.32,0,0,9.735863439
8.577,40.09254404,8.91301894,2,0.521089044,1.797472668,0,0.468030535,9.754666936,4,1.089,30,0.989119579,-0.125712485,0.25899351,0,3.88,122.46,0.390439735,0,9.800992069
