pIC50,MDEC-23,LipoaffinityIndex,C1SP2,maxHsOH,minsssN,maxssO,minHsOH,minsOH,nHBAcc,MLFER_A,nC,SHsOH,ATSc3,VC-5,minHBint5,MLogP,TopoPSA,MDEO-12,minssO,SHBint10
8.367,0.616589126,0.501297569,0,0.62316116,0,0,0.682030802,0.823003109,0,0.225900116,0.181818182,0.368844182,0.380553441,0.178257657,0.093941509,0.538461538,0.023415736,0,0,0.099166166
7.041,0.631463843,0.387386057,0,0.639561015,0,0,0.702368544,0.820454624,0.03030303,0.225900116,0.181818182,0.380503882,0.330897581,0.191220225,0.093941509,0.487179487,0.051976409,0,0,0.101575401
6.764,0.72652551,0.498682631,0,0.603137736,0.873575132,0.891593908,0.66221113,0.834745649,0.045454545,0.225900116,0.261363636,0.356225845,0.267658426,0.191220225,0.093941509,0.615384615,0.0624085,0.149392509,0.8916961,0.121622429
7.456,0.614539958,0.498952191,0,0.563969796,0,0,0.673218981,0.846623804,0,0.225900116,0.181818182,0.347609184,0.379976455,0.178257657,0.093941509,0.538461538,0.023415736,0,0,0.012930302
7.959,0.344670285,0.588664484,0,0.560749937,0.915604138,0.967292075,0.678931241,0.844368272,0.015151515,0.162833914,0.204545455,0.174226231,0.270704646,0.485049142,0.337927147,0.512820513,0.04581085,0.076338912,0.894638002,0.012930302
8.523,0.420189375,0.585579334,0,0.568440903,0.916541515,0.963482876,0.686334863,0.842585171,0.015151515,0.162833914,0.204545455,0.176615831,0.270590231,0.083232823,0.340299538,0.512820513,0.04581085,0.076338912,0.894234688,0.012930302
8.155,0.379630116,0.56224484,0,0.579072533,0.915352305,0.957598749,0.696569282,0.838896158,0.015151515,0.162833914,0.193181818,0.179919101,0.270651033,0.235076382,0.343374523,0.487179487,0.04581085,0.076338912,0.891691299,0.012930302
6.437,0.625690788,0.38605089,0,0.585096872,0,0,0.693556722,0.843380398,0.03030303,0.225900116,0.181818182,0.360737641,0.330987387,0.191220225,0.093941509,0.487179487,0.051976409,0,0,0.012930302
8.745,0.623581015,0.522823169,0,0.618801515,0.893845375,0.882116677,0.67626767,0.827706335,0.03030303,0.225900116,0.238636364,0.365629517,0.303487933,0.127034571,0.093941509,0.564102564,0.071753043,0.091786084,0.882217782,0.098941509
8.886,0.429064818,0.442755379,0,0.586053488,0,0,0.429300734,0.824830311,0.015151515,0.2029036,0.125,0.275743353,0.382025565,0.349936049,0.093941509,0.41025641,0.023415736,0,0,0.079606187
