pIC50,MDEC-23,LipoaffinityIndex,C1SP2,maxHsOH,minsssN,maxssO,minHsOH,minsOH,nHBAcc,MLFER_A,nC,SHsOH,ATSc3,VC-5,minHBint5,MLogP,TopoPSA,MDEO-12,minssO,SHBint10
8.602059991,0.523470064,0.59508173,0,0.550118307,0.920055295,0.980061663,0.668696822,0.849698449,0.015151515,0.162833914,0.215909091,0.17092296,0.270645978,0.155504159,0.33646114,0.538461538,0.04581085,0.076338912,0.899473462,0.012930302
8.124938737,0.575280658,0.642885364,0,0.526665383,0.921920913,0.992196491,0.646120129,0.857369555,0.015151515,0.162833914,0.238636364,0.163636085,0.270645894,0.155504159,0.328996707,0.58974359,0.04581085,0.076338912,0.904388129,0.012930302
8.508638306,0.572028456,0.549642965,0,0.605711394,0.908466204,0.966644568,0.681777058,0.831282516,0.015151515,0.225900116,0.227272727,0.363340603,0.252337793,0.117520785,0.339049251,0.538461538,0.062734764,0.140360192,0.895048546,0.098472466
8.408935393,0.565899957,0.645161085,0,0.535296689,0.92138339,0.98439228,0.654428958,0.854478433,0.015151515,0.162833914,0.238636364,0.166317851,0.270590217,0.083232823,0.330969784,0.58974359,0.04581085,0.076338912,0.902700885,0.012930302
8.408935393,0.565899957,0.61895561,0,0.555401948,0.915695078,0.974085998,0.67378306,0.851777672,0.015151515,0.162833914,0.238636364,0.172564599,0.268189794,0.083232823,0.337297532,0.58974359,0.04581085,0.076338912,0.898857515,0.012930302
6.30980392,0.523470064,0.561078818,0.1,0.569569435,0.912479356,0.96840633,0.687421231,0.84929159,0.03030303,0.162833914,0.215909091,0.176966468,0.268669368,0.117520785,0.342050038,0.512820513,0.056594303,0.076338912,0.895991377,0.012930302
9,0.699807733,0.62345405,0,0.586737882,0.9161345,0.918343338,0.641873389,0.837294135,0.015151515,0.225900116,0.261363636,0.344566146,0.304727629,0.178257657,0.093941509,0.666666667,0.033847827,0.053979762,0.918448595,0.118901299
7.455931956,0.48320977,0.529591748,0.05,0.586242998,0.910536003,0.957970378,0.703471849,0.844736871,0.015151515,0.162833914,0.204545455,0.18214698,0.224051852,0.104064965,0.34656117,0.487179487,0.056803447,0.116734258,0.89262392,0.012930302
8.366531544,0.616589126,0.501297569,0,0.62316116,0,0,0.682030802,0.823003109,0,0.225900116,0.181818182,0.368844182,0.380553441,0.178257657,0.093941509,0.538461538,0.023415736,0,0,0.099166166
7.040958608,0.631463843,0.387386057,0,0.639561015,0,0,0.702368544,0.820454624,0.03030303,0.225900116,0.181818182,0.380503882,0.330897581,0.191220225,0.093941509,0.487179487,0.051976409,0,0,0.101575401
6.764471553,0.72652551,0.498682631,0,0.603137736,0.873575132,0.891593908,0.66221113,0.834745649,0.045454545,0.225900116,0.261363636,0.356225845,0.267658426,0.191220225,0.093941509,0.615384615,0.0624085,0.149392509,0.8916961,0.121622429
7.455931956,0.614539958,0.498952191,0,0.563969796,0,0,0.673218981,0.846623804,0,0.225900116,0.181818182,0.347609184,0.379976455,0.178257657,0.093941509,0.538461538,0.023415736,0,0,0.012930302
7.958607315,0.344670285,0.588664484,0,0.560749937,0.915604138,0.967292075,0.678931241,0.844368272,0.015151515,0.162833914,0.204545455,0.174226231,0.270704646,0.485049142,0.337927147,0.512820513,0.04581085,0.076338912,0.894638002,0.012930302
8.585026652,0.5493671,0.618983547,0,0.538391845,0.920988104,0.986129077,0.657408475,0.853534002,0.015151515,0.162833914,0.227272727,0.167279523,0.270645896,0.155504159,0.332760928,0.564102564,0.04581085,0.076338912,0.901930795,0.012930302
6.266000713,0.517375409,0.559434823,0.1,0.570944761,0.912181298,0.967310825,0.688745173,0.849091657,0.03030303,0.162833914,0.215909091,0.177393785,0.278409575,0.117520785,0.342367791,0.512820513,0.056594303,0.076338912,0.895733357,0.012930302
8.522878745,0.420189375,0.585579334,0,0.568440903,0.916541515,0.963482876,0.686334863,0.842585171,0.015151515,0.162833914,0.204545455,0.176615831,0.270590231,0.083232823,0.340299538,0.512820513,0.04581085,0.076338912,0.894234688,0.012930302
8.568636236,0.592303118,0.57356668,0,0.620612499,0.910523342,0.970272212,0.67378306,0.823463013,0.015151515,0.225900116,0.238636364,0.365390259,0.2558908,0.083232823,0.336344733,0.564102564,0.062734764,0.132830812,0.897002415,0.012930302
8.15490196,0.379630116,0.56224484,0,0.579072533,0.915352305,0.957598749,0.696569282,0.838896158,0.015151515,0.162833914,0.193181818,0.179919101,0.270651033,0.235076382,0.343374523,0.487179487,0.04581085,0.076338912,0.891691299,0.012930302
6.436518915,0.625690788,0.38605089,0,0.585096872,0,0,0.693556722,0.843380398,0.03030303,0.225900116,0.181818182,0.360737641,0.330987387,0.191220225,0.093941509,0.487179487,0.051976409,0,0,0.012930302
8.055517328,0.48320977,0.540785114,0.05,0.565205942,0.91777775,0.974927676,0.683220764,0.848534937,0.015151515,0.162833914,0.204545455,0.175610721,0.253575224,0.169035413,0.341807258,0.487179487,0.06943573,0.076338912,0.897858254,0.012930302
8.522878745,0.543757432,0.620802095,0,0.54498798,0.920570809,0.979746916,0.66375817,0.851308555,0.015151515,0.162833914,0.227272727,0.169328956,0.270590217,0.083232823,0.334122276,0.564102564,0.04581085,0.076338912,0.900636042,0.012930302
8.744727495,0.623581015,0.522823169,0,0.618801515,0.893845375,0.882116677,0.67626767,0.827706335,0.03030303,0.225900116,0.238636364,0.365629517,0.303487933,0.127034571,0.093941509,0.564102564,0.071753043,0.091786084,0.882217782,0.098941509
8.638272164,0.579140461,0.570257586,0,0.60190424,0.914161582,0.969014606,0.678112144,0.832228603,0.03030303,0.225900116,0.238636364,0.360974821,0.276590341,0.117520785,0.337990745,0.564102564,0.062734764,0.134384653,0.885674906,0.098011294
8.853871964,0.653719758,0.48966333,0,0.609312697,0,0.967815032,0.685243812,0.829317867,0.015151515,0.263182346,0.204545455,0.365578469,0.32344295,0.140491307,0.340913836,0.512820513,0.062366671,0.095695891,0.96792596,0.094857978
9,0.580992796,0.530651661,0,0.605033209,0.86529787,0.970551185,0.68112421,0.830893937,0.03030303,0.225900116,0.204545455,0.362919176,0.259147363,0.142683732,0.339743757,0.487179487,0.057723679,0.095695891,0.970662426,0.09833382
9.15490196,0.43391412,0.494883148,0,0.616931523,0.948758663,0.956532089,0.692577989,0.822370463,0.015151515,0.225900116,0.170454545,0.37031284,0.326996392,0.113860186,0.341312714,0.435897436,0.055013176,0.095695891,0.956641723,0.122110363
8.853871964,0.602211525,0.603598037,0,0.597568018,0.954173851,0.972711982,0.673937929,0.832466329,0.015151515,0.225900116,0.238636364,0.358280273,0.327707486,0.117520785,0.337024653,0.58974359,0.055013176,0.095695891,0.972823471,0.097400294
8.443697499,0.591915693,0.554046515,0,0.599821448,0.876724782,0.973524218,0.676107167,0.832598628,0.03030303,0.225900116,0.215909091,0.359680565,0.29177766,0.142683732,0.338214431,0.512820513,0.057723679,0.095695891,0.973635799,0.097743615
8.769551079,0.653719758,0.516298975,0,0.60554217,0,0.969987609,0.681614156,0.829767342,0.015151515,0.263182346,0.204545455,0.363235446,0.327154651,0.150006009,0.339823095,0.512820513,0.062366671,0.095695891,0.970098785,0.094974685
9,0.587796278,0.552882096,0,0.600975609,0.901317569,0.972713902,0.677218208,0.832240128,0.03030303,0.225900116,0.215909091,0.360397766,0.249783693,0.142683732,0.338516107,0.512820513,0.057723679,0.095695891,0.972825391,0.097876502
8.356547324,0.580992796,0.492533659,0,0.609613858,0.882577434,0.967965138,0.685533721,0.829372738,0.03030303,0.2271777,0.193181818,0.365765611,0.246776301,0.142683732,0.341083268,0.461538462,0.065077174,0.095695891,0.968076082,0.095077016
6.809668302,0.597162518,0.554267776,0,0.603551981,0.932358373,0.970591888,0.679698324,0.830728733,0.015151515,0.225900116,0.215909091,0.361998735,0.338493551,0.117520785,0.339107376,0.538461538,0.055013176,0.095695891,0.970703133,0.098100569
8.443697499,0.591915693,0.515418864,0,0.604402097,0.894004346,0.97093817,0.680516678,0.831077428,0.03030303,0.245180023,0.204545455,0.362527,0.282503907,0.142683732,0.33956613,0.487179487,0.065077174,0.095695891,0.971049456,0.094904317
8.886056648,0.429064818,0.442755379,0,0.586053488,0,0,0.429300734,0.824830311,0.015151515,0.2029036,0.125,0.275743353,0.382025565,0.349936049,0.093941509,0.41025641,0.023415736,0,0,0.079606187
7.494850022,0.58296479,0.67562472,0.05,0.452755669,0.693478044,0,0.172743166,0.87022273,0.060606061,0.242973287,0.306818182,0.203759999,0.415942058,0.467778533,0.117778264,0.717948718,0.078495838,0,0,0.06223726
7.408935393,0.592745426,0.580894276,0.05,0.820893484,0,0,0.929355499,0.750300841,0.03030303,0.168060395,0.204545455,0.255053399,0.420522133,0.062945877,0.093941509,0.58974359,0.020772159,0,0,0.012930302
6.401209493,0.597082804,0.472014652,0,0.489740355,0,0,0.223604664,0.862084299,0.03030303,0.242973287,0.193181818,0.24315855,0.346694808,0.436960343,0.153288149,0.487179487,0.061504999,0,0,0.06753271
7.337242168,0.69088148,0.532354181,0.05,0.795346317,0,0,0.330833805,0.754981861,0.045454545,0.271196283,0.227272727,0.459296636,0.387954487,0.402984198,0.093941509,0.564102564,0.075785335,0,0,0.066760463
7.026872146,0.69088148,0.600819187,0.05,0.471997752,0.576964903,0,0.319506263,0.868664387,0.045454545,0.2029036,0.25,0.204868621,0.474455147,0.438569978,0.093941509,0.615384615,0.061571925,0,0,0.06517025
7.48148606,0.58296479,0.659470659,0.05,0.472625507,0.69150796,0,0.311151959,0.866718644,0.060606061,0.224390244,0.306818182,0.202367222,0.404883417,0.447663364,0.532313793,0.717948718,0.075852261,0,0,0.064509154
8.22184875,0.56525777,0.763579688,0,0.466651299,0,0,0.314359561,0.864613903,0.03030303,0.2029036,0.284090909,0.201546312,0.109282045,0.424527504,0.093941509,0.58974359,0.053766679,0,0,0.064106499
8.045757491,0.573464683,0.761259316,0.05,0.452755669,0.69892064,0,0.300983088,0.8696545,0.045454545,0.2029036,0.306818182,0.192911506,0.447040753,0.433802388,0.093941509,0.743589744,0.061571925,0,0,0.062217538
7.744727495,0.567518487,0.551018952,0,0.588293617,0.907467407,0.897530239,0.649259188,0.833896769,0.015151515,0.225900116,0.215909091,0.347433363,0.292932061,0.260680266,0.045501747,0.512820513,0.076178525,0.051467684,0.897633111,0.095147864
9,0.565140234,0.522092683,0,0.567325482,0.896176814,0.963472983,0.659269567,0.849310882,0.015151515,0.225900116,0.215909091,0.344149478,0.256944276,0.117520785,0.034711676,0.512820513,0.062734764,0.149392509,0.88857583,0.036866628
7.677780705,0.572028456,0.575133433,0,0.584674339,0.918894319,0.903597653,0.64577513,0.835080582,0.015151515,0.225900116,0.227272727,0.345184328,0.291568977,0.260680266,0.045655192,0.538461538,0.076178525,0.051467684,0.90370122,0.094730377
7.823908741,0.569991246,0.570930747,0,0.526306995,0.918031841,0.903193092,0.628913169,0.857246812,0.015151515,0.225900116,0.227272727,0.321607084,0.294102654,0.260680266,0.044084514,0.538461538,0.076178525,0.053979762,0.903296613,0.035843055
8.397940009,0.592442184,0.572759959,0,0.516167033,0.928396387,0.931323351,0.617102214,0.861007357,0.015151515,0.225900116,0.227272727,0.314644461,0.263441875,0.305793476,0.045311898,0.512820513,0.076178525,0.053979762,0.931430096,0.035986936
8.301029996,0.595394427,0.577169,0,0.574534377,0.929258865,0.931727911,0.63601401,0.838841128,0.015151515,0.225900116,0.227272727,0.338883312,0.260908012,0.305793476,0.046646208,0.512820513,0.076178525,0.051467684,0.931834702,0.093594889
8.397940009,0.588642558,0.553077666,0,0.578153656,0.917831953,0.925660497,0.639498068,0.837657315,0.015151515,0.225900116,0.215909091,0.341132347,0.262271096,0.305793476,0.046489771,0.487179487,0.076178525,0.051467684,0.925766593,0.094016831
